Date	Cereals and products	Meat and fish	Egg	Milk and products	Oils and fats	Fruits	Vegetables	Pulses and products	Sugar and confectionery	Spices	Non-alcoholic beverages	Prepared meals, snacks, sweets etc.	Pan, tobacco and intoxicants	Clothing	Footwear	Housing	Fuel and light	Household goods and services	Health	Transport and communication	Recreation and amusement	Education	Personal care and effects
01 January 2014	0.579024393	0.445949718	0.075105572	0.198273623	0.036431249	0.511944511	0.114333967	0.055804241	-0.01812658	0.297193201	0.10311234	0.741433086	0.137536603	0.365623074	0.039890511	2.013121055	0.102047636	0.258446704	0.340516516	0.571047945	0.052156553	0.561058172	0.159904824
01 February 2014	0.342119648	0.242548156	0.025014361	0.230472489	-0.018129574	0.505830597	0.050012509	0.098377939	-0.014103252	0.292585623	0.094655676	0.667470649	0.120177069	0.34977686	0.038368284	2.062033204	0.103717926	0.267977356	0.332551344	0.532115223	0.056801287	0.556895042	0.219399064
01 March 2014	0.191276914	0.377057286	0.036932856	0.281734152	-0.006469789	0.613312338	0.02830371	0.113878658	-0.007802112	0.310830312	0.080445033	0.679306381	0.108053127	0.356060877	0.036246226	2.110945352	0.11779912	0.268445434	0.346251879	0.479491635	0.066514857	0.576330743	0.245638555
01 April 2014	0.205667591	0.35435048	0.034629904	0.323540423	-0.015472895	0.668067868	-0.037369899	0.127284398	0.000585504	0.372578775	0.065984338	0.634668672	0.104010559	0.362895929	0.036535129	2.262830444	0.100181875	0.26146133	0.344179009	0.519423234	0.070351705	0.578113448	0.321671112
01 May 2014	0.181804552	0.346156585	0.075149548	0.344329412	-0.001722763	0.725253322	-0.536019391	0.182931699	0.002966322	0.423702416	0.059322606	0.628771106	0.093774746	0.362626479	0.042300894	2.361941903	0.120818107	0.23093569	0.3384685	0.622822369	0.063610793	0.564838717	0.358555136
01 June 2014	0.141852473	0.152104946	0.027663761	0.334092335	-0.022775049	0.689907167	-0.82185195	0.199070391	-0.000394757	0.412866114	0.047272989	0.612705602	0.086564112	0.356847751	0.040865008	1.074780103	0.129558159	0.209677927	0.323185084	0.530481298	0.067447641	0.50895238	0.260767121
01 July 2014	0.165278607	0.198020833	0.029844236	0.337602982	-0.04234172	0.694660877	0.485817546	0.246825086	0.005216371	0.437035949	0.050007469	0.566990115	0.095924016	0.372228736	0.041499957	1.067057132	0.13123791	0.218469358	0.300790072	0.439092158	0.068908491	0.513357786	0.330960976
01 August 2014	0.23953716	0.144678552	0.023929196	0.353858032	-0.073239758	0.772234497	0.389054601	0.310742293	0.003584404	0.490927921	0.054198842	0.61968077	0.126953808	0.384898467	0.042297984	0.930617981	0.121789224	0.226571778	0.313133905	0.37112159	0.071722729	0.548377675	0.209703395
01 September 2014	0.274113452	0.160228704	0.017555212	0.338513654	-0.139274237	0.769973389	-0.23569846	0.363655816	0.005032988	0.488717743	0.047103442	0.592410152	0.170804794	0.3815653	0.040609669	0.890715966	0.133996755	0.218208816	0.295663645	0.081733429	0.060370605	0.591549774	0.113043736
01 October 2014	0.29854216	0.355567936	0.003182561	0.35322891	-0.127115404	0.61391907	-0.645010448	0.337044071	0.009269098	0.500853575	0.047558904	0.548687504	0.183363369	0.354616652	0.037865758	0.835368008	0.113409391	0.201396978	0.264582681	0.096782562	0.062568849	0.589596504	0.085971979
