Title,Rice,Wheat,Atta,Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati/Dalda,Soya Oil,Sunflower Oil,Palm Oil,Jaggery,Tea,Salt,Potato,Onion,Tomato,Date,Lat,Lon,Zone
Average Price,39.73,29.1,34.39,74.66,127.37,111.65,109.66,92.2,42.81,57.56,190.42,143.17,131.47,131.89,135.8,105.75,50.64,275.89,22.02,21.88,23.19,30.13,2023-06-16,,,
Maximum Price,65,50,67,131,169,152,150,132,77,80,280,258,220,200,250,180,150,595,30,50,60,80,2023-06-16,,,
Minimum Price,23,20,20,56,75,68,72,60,35,33,106,88,93,94,102,78,34,123,9,9,10,9,2023-06-16,,,
Modal Price,35,25,35,70,120,110,120,100,42,55,192.5,150,131.5,150,130,102.5,45,240,28,20,20,20,2023-06-16,,,
CHANDIGARH,39,28,35,73,113,108,105,92,42,57,190,173,135,145,178,120,50,270,25,19,25,28,2023-06-16,30.7334421,76.7797143,NORTH ZONE
DELHI,39,28,31,72,145,123,113,87,41,53,218,130,130,126,146,106,53,242,26,23,27,25,2023-06-16,28.6517178,77.2219388,NORTH ZONE
HISAR,34,24,27,67,132,103,102,83,40,57,203,110,111,112,173,103,44,257,25,15,19,23,2023-06-16,29.080641,75.7887541,NORTH ZONE
KARNAL,53,27,37,71,115,109,109,109,43,66,182,152,144,143,172,137,45,275,29,16,24,23,2023-06-16,29.6803266,76.9896254,NORTH ZONE
PANCHKULA,30,26,31,56,103,88,92,88,42,56,191,134,159,136,156,107,45,230,28,12,19,20,2023-06-16,30.7137692,76.868276,NORTH ZONE
GURGAON,40,25,35,65,100,95,90,88,42,56,185,165,130,137,163,100,44,190,20,15,20,20,2023-06-16,28.4282624,77.0027001,NORTH ZONE
SHIMLA,38,NR,34,72,144,118,115,91,45,60,231,161,134,119,NR,NR,44,223,28,25,30,30,2023-06-16,31.1041526,77.1709729,NORTH ZONE
MANDI,35,NR,32,75,135,114,111,89,43,45,201,155,132,122,163,113,46,267,27,20,30,30,2023-06-16,31.6723392,76.9533169,NORTH ZONE
DHARAMSHALA,27,NR,29,68,128,104,106,91,43,40,NR,165,143,154,NR,NR,44,210,28,17,20,30,2023-06-16,32.2143039,76.3196717,NORTH ZONE
SOLAN,34,NR,29,71,134,122,111,84,42,47,203,153,135,120,142,NR,44,220,28,22,23,30,2023-06-16,30.9258958,77.0820051,NORTH ZONE
UNA,38,NR,30,73,124,113,106,81,43,60,NR,137,136,131,NR,NR,46,226,28,21,24,31,2023-06-16,31.583333,76.25,NORTH ZONE
BILASPUR-HP,43,NR,29,68,133,104,110,86,43,58,NR,159,138,145,NR,NR,44,345,27,22,20,22,2023-06-16,31.3380959,76.7611631,NORTH ZONE
CHAMBA,30,NR,32,70,124,110,108,82,46,55,NR,159,137,125,163,101,45,233,28,17,25,25,2023-06-16,32.518429,76.2308657,NORTH ZONE
HAMIRPUR-HP,34,NR,31,70,125,116,113,95,44,65,NR,158,139,NR,NR,NR,48,265,28,19,22,27,2023-06-16,,,
KULLU,36,NR,29,74,139,115,111,82,43,40,NR,160,121,126,141,NR,42,230,28,18,20,20,2023-06-16,,,
SIRMOUR,37,21,34,62,110,97,91,96,42,50,228,165,135,143,155,121,41,327,25,29,24,36,2023-06-16,,,
KINNAUR,32,NR,32,64,125,111,108,74,46,42,NR,144,146,139,NR,141,44,206,27,29,30,40,2023-06-16,,,
LAHAUL & SPITI,38,NR,35,80,120,120,120,100,48,70,NR,181,192,NR,NR,NR,55,365,28,40,40,40,2023-06-16,,,
SRINAGAR,36,35,57,95,120,120,118,102,50,45,253,170,148,140,197,NR,49,340,28,28,30,37,2023-06-16,34.0747444,74.8204443,NORTH ZONE
JAMMU,36,29,32,73,145,125,117,97,45,50,NR,153,133,132,153,112,50,297,28,22,20,32,2023-06-16,32.7185614,74.8580917,NORTH ZONE
POONCH,43,27,38,77,118,119,110,100,48,64,NR,172,153,167,170,156,46,306,20,22,23,23,2023-06-16,33.8572218,73.7604031,NORTH ZONE
KUPWARA,38,26,33,90,110,110,120,100,60,48,NR,173,178,170,177,150,48,307,24,22,28,28,2023-06-16,34.6110236,74.2384787,NORTH ZONE
AMRITSAR,38,30,32,78,130,120,130,100,42,52,195,210,190,185,200,NR,55,275,28,14,22,30,2023-06-16,31.6343083,74.8736788,NORTH ZONE
LUDHIANA,35,22,28,73,135,120,112,100,42,55,210,127,117,120,135,NR,50,320,27,18,25,18,2023-06-16,30.9090157,75.851601,NORTH ZONE
BATHINDA,35,23,25,72,137,120,117,103,41,55,213,137,120,118,135,100,51,290,26,18,25,18,2023-06-16,30.1791154,75.0471016,NORTH ZONE
BARNALA,35,23,27,73,122,112,101,100,45,55,218,126,124,124,141,102,42,317,28,16,21,24,2023-06-16,,,
HOSHIARPUR,28,25,28,72,153,112,109,93,42,65,198,111,118,108,131,100,55,252,19,13,15,14,2023-06-16,,,
FARIDKOT,39,23,25,67,113,100,95,95,40,53,168,150,139,150,169,102,40,263,25,20,28,26,2023-06-16,,,
MANSA,36,22,29,105,125,110,108,95,41,61,180,115,138,135,161,128,40,270,28,18,20,24,2023-06-16,,,
SRI MUKTSAR SAHIB,40,27,29,70,135,110,110,90,NR,NR,205,105,115,115,185,100,NR,NR,NR,20,20,22,2023-06-16,,,
DERA BASSI,34,25,28,63,131,104,98,76,39,59,215,98,110,106,185,95,38,260,26,24,22,30,2023-06-16,,,
SANGRUR,36,27,30,63,109,96,85,74,43,60,140,88,106,101,148,98,42,186,29,15,19,25,2023-06-16,,,
ROPAR,34,26,31,73,120,113,106,98,41,64,226,132,131,113,136,118,50,275,26,11,20,23,2023-06-16,,,
LUCKNOW,35,27,34,70,122,106,107,71,41,66,206,130,122,118,129,114,50,280,26,20,20,30,2023-06-16,26.8381,80.9346001,NORTH ZONE
KANPUR,35,26,29,75,130,97,98,78,40,60,180,160,125,140,170,130,42,230,26,15,20,18,2023-06-16,26.4609135,80.3217588,NORTH ZONE
VARANASI,35,27,34,72,138,107,110,77,46,70,220,138,138,136,165,123,59,254,25,20,22,40,2023-06-16,25.3356491,83.0076292,NORTH ZONE
AGRA,37,28,29,73,145,109,103,85,42,66,198,127,116,120,120,111,42,238,27,14,16,15,2023-06-16,27.1752554,78.0098161,NORTH ZONE
JHANSI,38,23,25,66,119,94,93,82,41,51,179,133,130,140,162,117,39,238,25,18,19,32,2023-06-16,25.5301308,78.6524215,NORTH ZONE
MEERUT,38,29,39,81,120,115,117,114,42,65,160,162,156,150,150,147,49,243,25,18,19,19,2023-06-16,29.0006525,77.7682288,NORTH ZONE
ALLAHABAD,29,28,32,72,110,108,106,84,45,62,170,152,132,136,160,112,52,250,22,26,24,29,2023-06-16,25.4381302,81.8338005,NORTH ZONE
GORAKHPUR,31,24,33,63,139,119,124,77,41,59,209,124,129,119,164,99,49,199,26,18,19,54,2023-06-16,26.6711433,83.3645724,NORTH ZONE
SAHARANPUR,30,21,31,76,102,115,114,117,41,58,151,165,133,152,156,135,47,271,26,18,20,18,2023-06-16,29.9880774,77.5081299,NORTH ZONE
BAREILLY,32,24,31,73,134,125,117,110,40,66,193,133,125,123,143,102,42,315,28,18,18,18,2023-06-16,28.416667,79.383333,NORTH ZONE
AYODHYA,31,25,30,71,123,95,102,87,41,55,193,158,122,137,170,97,46,217,28,13,23,17,2023-06-16,26.7990707,82.2052321,NORTH ZONE
MORADABAD,27,24,29,68,130,117,104,91,43,57,190,127,102,117,130,102,46,278,25,20,21,22,2023-06-16,28.8638424,78.8057783,NORTH ZONE
ALIGARH,34,25,34,78,120,110,101,107,40,59,180,162,142,153,183,137,43,240,26,15,25,20,2023-06-16,27.833333,78.166667,NORTH ZONE
MIRZAPUR (VINDHYANCHAL),31,26,31,69,106,76,90,86,48,47,190,165,162,155,175,155,57,246,23,21,22,31,2023-06-16,25.14582,82.56975,NORTH ZONE
BANDA,42,26,32,68,134,100,102,84,43,62,198,143,127,133,152,132,48,181,16,14,13,17,2023-06-16,-5.5,126.5,NORTH ZONE
AZAMGARH,27,26,29,72,129,127,117,103,43,62,210,159,123,140,140,94,57,338,29,20,24,26,2023-06-16,26.0226968,83.0288734,NORTH ZONE
GONDA (DEVIPATAN),36,26,35,79,128,119,113,93,45,60,185,138,155,160,190,140,45,340,25,22,32,28,2023-06-16,27.13253,81.96897,NORTH ZONE
AMETHI,35,25,36,71,118,90,111,89,46,62,188,172,140,159,187,118,49,260,25,20,29,34,2023-06-16,,,
BARABANKI,37,27,32,80,131,149,119,100,41,64,203,150,135,150,160,119,49,220,28,18,20,20,2023-06-16,,,
BHADOHI,34,22,28,65,105,79,100,89,42,49,190,160,145,145,185,105,45,235,25,17,22,19,2023-06-16,,,
CHANDAULI,28,23,30,67,125,99,100,80,40,60,155,130,122,128,150,102,41,208,26,16,19,20,2023-06-16,,,
FARRUKHABAD,40,22,29,69,127,95,98,87,41,66,175,132,133,138,170,105,40,253,26,13,17,16,2023-06-16,,,
GHAZIPUR,41,22,32,75,138,120,120,100,41,78,208,130,132,127,185,101,50,192,28,20,20,40,2023-06-16,,,
JAUNPUR,36,28,35,73,135,141,109,79,42,62,181,133,122,130,167,105,53,251,27,17,19,25,2023-06-16,,,
UP-PRATAPGARH,29,25,30,67,139,120,103,81,42,68,209,132,119,120,120,103,46,266,27,16,18,32,2023-06-16,,,
SAMBHAL,40,24,33,65,100,98,99,83,40,57,172,157,138,140,173,123,37,215,29,20,20,10,2023-06-16,,,
SANTKABIR NAGAR,31,23,32,75,112,110,106,94,43,62,192,160,159,159,181,NR,40,259,28,14,21,25,2023-06-16,,,
SHAHJAHANPUR,37,25,31,74,130,130,128,126,42,62,191,138,133,157,173,110,55,247,25,16,20,25,2023-06-16,,,
SITAPUR,30,30,32,75,102,96,103,95,41,57,181,165,145,156,174,119,39,240,27,11,15,13,2023-06-16,,,
